gid,id,team,p_ipouts,p_seq,p_h,p_r,p_er,p_w,p_hbp,p_wp,date,wl
TBA202304010,kellk004,TBA,6,2,2,1,1,0,0,0,20230401,w
TBA202304010,cleag001,TBA,3,3,0,0,0,0,0,0,20230401,w
TBA202304010,faucc001,TBA,3,4,1,0,0,1,0,0,20230401,w
TEX202304010,wheez001,PHI,13,1,7,5,4,1,0,0,20230401,l
TEX202304010,marty001,PHI,2,2,2,2,2,1,0,0,20230401,l
TEX202304010,alvaj004,PHI,3,3,1,0,0,0,0,0,20230401,l
TEX202304010,domis001,PHI,0,4,3,6,4,1,1,0,20230401,l
TEX202304010,bella001,PHI,3,5,1,0,0,0,0,0,20230401,l
TEX202304010,kimbc001,PHI,1,6,1,3,3,2,0,0,20230401,l
TEX202304010,harrj002,PHI,2,7,2,0,0,1,0,0,20230401,l
TEX202304010,eovan001,TEX,15,1,6,3,3,2,0,0,20230401,w
TEX202304010,dunnd001,TEX,9,2,3,0,0,0,0,0,20230401,w
TEX202304010,heart001,TEX,3,3,0,0,0,1,0,0,20230401,w
WAS202304010,stris002,ATL,18,1,3,0,0,3,0,1,20230401,w
WAS202304010,anden001,ATL,3,2,0,0,0,0,0,0,20230401,w
WAS202304010,jimej003,ATL,3,3,1,0,0,0,0,0,20230401,w
WAS202304010,yatek001,ATL,3,4,1,1,1,0,0,0,20230401,w
WAS202304010,grayj004,WAS,15,1,7,5,5,2,0,1,20230401,l
WAS202304010,banda001,WAS,3,2,1,0,0,0,0,0,20230401,l
WAS202304010,wardt003,WAS,6,3,2,2,2,0,0,0,20230401,l
WAS202304010,harrh001,WAS,3,4,1,0,0,0,0,0,20230401,l
BOS202304020,irvic001,BAL,12,1,8,6,6,2,0,0,20230402,l
BOS202304020,bakeb001,BAL,6,2,1,0,0,0,0,1,20230402,l
BOS202304020,akink001,BAL,1,3,2,2,2,0,0,0,20230402,l
BOS202304020,baumm001,BAL,5,4,3,1,1,2,0,1,20230402,l
BOS202304020,houct001,BOS,15,1,5,3,3,1,0,0,20230402,w
BOS202304020,schrj001,BOS,3,2,0,0,0,1,0,0,20230402,w
BOS202304020,bleir001,BOS,3,3,3,2,2,0,0,0,20230402,w
BOS202304020,martc007,BOS,3,4,1,0,0,0,0,0,20230402,w
BOS202304020,ort-k001,BOS,3,5,1,0,0,0,0,0,20230402,w
CHN202304020,lauee001,MIL,16,1,5,2,2,2,0,0,20230402,w
CHN202304020,payaj001,MIL,5,2,2,1,1,0,0,0,20230402,w
CHN202304020,guerj004,MIL,1,3,1,2,2,2,0,1,20230402,w
CHN202304020,milnh001,MIL,2,4,0,0,0,0,0,0,20230402,w
CHN202304020,varlg001,MIL,3,5,1,0,0,0,0,0,20230402,w
CHN202304020,tailj001,CHN,12,1,7,3,3,1,0,0,20230402,l
CHN202304020,leitm002,CHN,3,2,0,0,0,2,0,0,20230402,l
CHN202304020,merrj001,CHN,2,3,5,5,5,2,0,1,20230402,l
CHN202304020,ruckm001,CHN,4,4,1,1,1,1,0,0,20230402,l
CHN202304020,alzoa001,CHN,6,5,0,0,0,0,0,0,20230402,l
CIN202304020,velav001,PIT,14,1,5,3,3,1,0,0,20230402,l
CIN202304020,zastr001,PIT,1,2,1,0,0,1,0,0,20230402,l
CIN202304020,croww001,PIT,6,3,2,0,0,1,0,1,20230402,l
CIN202304020,unded001,PIT,3,4,1,0,0,0,0,0,20230402,l
CIN202304020,ashcg001,CIN,21,1,4,1,1,1,0,1,20230402,w
CIN202304020,youna002,CIN,1,2,2,0,0,0,0,0,20230402,w
CIN202304020,law-d001,CIN,2,3,0,0,0,0,0,0,20230402,w
CIN202304020,diaza004,CIN,3,4,0,0,0,0,0,0,20230402,w
HOU202304020,clevm001,CHA,15,1,3,0,0,3,2,1,20230402,w
HOU202304020,santg001,CHA,3,2,1,1,1,1,0,1,20230402,w
HOU202304020,bumma001,CHA,3,3,0,0,0,0,0,0,20230402,w
HOU202304020,gravk001,CHA,3,4,1,0,0,0,0,0,20230402,w
HOU202304020,loper003,CHA,3,5,2,2,2,2,0,1,20230402,w
HOU202304020,garcl007,HOU,15,1,7,3,3,2,1,0,20230402,l
HOU202304020,matop002,HOU,6,2,1,0,0,0,1,0,20230402,l
HOU202304020,marts003,HOU,6,3,5,3,3,1,0,0,20230402,l
KCA202304020,ryanj002,MIN,18,1,3,1,1,2,0,1,20230402,w
KCA202304020,moraj003,MIN,3,2,1,2,2,1,0,0,20230402,w
KCA202304020,lopej004,MIN,3,3,0,0,0,0,0,0,20230402,w
KCA202304020,pagae001,MIN,3,4,2,1,1,0,0,0,20230402,w
KCA202304020,kellb003,KCA,14,1,5,2,2,4,1,0,20230402,l
KCA202304020,garra001,KCA,3,2,2,1,1,0,0,0,20230402,l
KCA202304020,coled003,KCA,4,3,3,3,3,0,0,0,20230402,l
KCA202304020,cuasj001,KCA,3,4,3,1,1,0,0,0,20230402,l
KCA202304020,barls001,KCA,3,5,0,0,0,1,0,0,20230402,l
LAN202304020,daviz001,ARI,15,1,4,1,1,2,0,0,20230402,w
LAN202304020,nelsk001,ARI,3,2,0,0,0,0,1,0,20230402,w
