gid,daynight,attendance,precip,sky,temp,winddir,windspeed
CHN202304260,night,28955,none,sunny,43,fromrf,10
CIN202304260,day,10256,none,cloudy,58,unknown,5
CLE202304260,day,9841,none,sunny,46,fromcf,7
MIL202304260,day,25847,none,dome,63,unknown,0
MIN202304260,day,20511,none,sunny,50,rtol,6
NYN202304260,night,20191,none,cloudy,54,tolf,9
PHI202304260,night,32641,none,cloudy,54,fromlf,4
PIT202304260,night,12152,none,sunny,61,fromlf,11
SFN202304260,night,21748,none,cloudy,62,tocf,11
TBA202304260,night,14168,none,dome,72,unknown,0
TOR202304260,day,35069,none,dome,68,unknown,0
ANA202304270,day,21741,none,sunny,74,tocf,8
ATL202304270,day,32196,none,overcast,57,ltor,5
CHA202304270,night,11060,none,cloudy,56,fromlf,15
CHN202304270,day,26588,none,sunny,60,rtol,9
DET202304270,night,11599,none,sunny,58,fromlf,7
MIN202304270,night,12862,none,overcast,58,fromlf,9
NYN202304270,night,20726,none,cloudy,55,tolf,7
PHI202304270,day,31543,none,cloudy,55,rtol,5
PIT202304270,day,15879,none,sunny,60,fromcf,6
SFN202304270,day,23397,none,sunny,67,unknown,5
TEX202304270,night,31325,none,cloudy,67,fromlf,8
BOS202304280,night,30578,none,cloudy,52,tolf,3
CHA202304280,night,16681,none,cloudy,55,torf,10
COL202304280,night,24197,none,cloudy,57,fromlf,9
HOU202304280,night,40719,none,dome,73,unknown,0
LAN202304280,night,48138,none,sunny,62,ltor,5
MIA202304280,night,12340,none,dome,72,unknown,0
MIL202304280,night,24787,none,dome,65,unknown,0
MIN202304280,day,11754,none,overcast,48,fromlf,12
NYN202304280,night,29240,none,cloudy,52,fromrf,5
OAK202304280,night,6423,none,cloudy,64,torf,8
TEX202304280,night,36341,none,dome,74,unknown,0
TOR202304280,night,41414,none,dome,68,unknown,0
BOS202304290,day,31717,none,overcast,49,fromrf,6
CHA202304290,night,28462,none,cloudy,56,tocf,13
COL202304290,night,34399,none,cloudy,72,fromcf,7
DET202304291,day,17974,none,overcast,53,rtol,11
DET202304292,night,11048,none,cloudy,63,rtol,11
HOU202304290,day,41240,none,dome,73,unknown,0
